%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
22967.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_137,no commment
22967.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_138,no commment
23267.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_139,no commment
23567.692,7687.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_140,no commment
23567.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_141,no commment
23267.692,7987.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_142,no commment
23267.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_143,no commment
23267.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_144,no commment
23567.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_145,no commment
23567.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_146,no commment
22967.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_147,no commment
22967.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_148,no commment
22667.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_149,no commment
22367.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_150,no commment
22667.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_151,no commment
22067.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_152,no commment
22367.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_153,no commment
22067.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_154,no commment
22067.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_155,no commment
22367.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_156,no commment
22667.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_157,no commment
22967.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_158,no commment
23567.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_159,no commment
23267.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_160,no commment
24767.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_161,no commment
24767.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_162,no commment
25067.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_163,no commment
25067.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_164,no commment
25367.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_165,no commment
25367.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_166,no commment
24467.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_167,no commment
24167.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_168,no commment
23867.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_169,no commment
24467.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_170,no commment
24167.692,7387.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_171,no commment
23867.692,7087.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_172,no commment
23867.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_173,no commment
24167.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_174,no commment
24467.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_175,no commment
25067.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_176,no commment
25367.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_177,no commment
24767.692,6787.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_178,no commment
24767.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_179,no commment
24767.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_180,no commment
25067.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_181,no commment
25067.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_182,no commment
25367.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_183,no commment
25367.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_184,no commment
23867.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_185,no commment
23867.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_186,no commment
24167.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_187,no commment
24167.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_188,no commment
24467.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_189,no commment
24467.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_190,no commment
24467.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_191,no commment
24167.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_192,no commment
23867.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_193,no commment
23867.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_194,no commment
24167.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_195,no commment
24467.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_196,no commment
24767.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_197,no commment
25067.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_198,no commment
25367.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_199,no commment
25367.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_200,no commment
25067.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_201,no commment
24767.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_202,no commment
22967.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_203,no commment
22967.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_204,no commment
23567.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_205,no commment
23567.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_206,no commment
23267.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_207,no commment
23267.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_208,no commment
22067.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_209,no commment
22667.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_210,no commment
22667.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_211,no commment
22067.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_212,no commment
22367.692,6187.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_213,no commment
22367.692,6487.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_214,no commment
22067.692,5887.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_215,no commment
22667.692,5587.528,TE,1550,badLabel,badlabel_opt_in_TE_1550_variabilitymrr_216,no commment
